NO,병원명,홈페이지,Final URL,CMS,상태,채널수,의사수,의료진페이지,추출된의사,추출된채널,partial사유
863,연세동안의원,http://vipclinic.co.kr/,http://vipclinic.co.kr/contents/main/main.html,,success,3,1,Yes,지건현(원장),KakaoTalk:https://pf.kakao.com/_Seaxkxd; Phone:tel:027071023; Phone:tel:027071029,
899,메이퓨어의원마포공덕점,https://www.maypureclinic.com/ko/,https://www.maypureclinic.com/,,success,2,46,Yes,이창윤(specialist); 최희원(specialist); 서형철(specialist); 장진권(specialist); 최준석(specialist); 이석호(specialist); 윤광원(specialist); 박상희(specialist); 박준태(specialist); 김윤병(specialist); 최의제(specialist); 문은혜(specialist); 김휘강(specialist); 윤동진(specialist); 윤호석(specialist); 박정진(specialist); 최원영(specialist); 임다정(specialist); 최민제(specialist); 김운집(specialist); 이은지(specialist); 안병찬(specialist); 권다해(specialist); 김종태(specialist); 안광은(specialist); 정하영(specialist); 김자영(specialist); 김진구(specialist); 오승현(specialist); 박재형(specialist); 권도영(specialist); 이상범(specialist); 박새영(specialist); 박석용(specialist); 임찬영(specialist); 권동우(specialist); 이혜규(specialist); 김하영(specialist); 박기병(specialist); 장인혁(specialist); 강병훈(specialist); 정승은(specialist); 전민주(specialist); 유지상(specialist); 최우혁(specialist); 송완석(specialist),KakaoTalk:https://pf.kakao.com/_qkHdT; Phone:tel:0222789990,
904,공덕닥터에버스의원,https://evers16.co.kr/,,imweb,success,11,4,Yes,남다정(대표원장); 김수연(부원장); 유위백(부원장); 김수영(부원장),Instagram:https://www.instagram.com/drevers_official; Instagram:https://www.instagram.com/p/DUkakL4EiIH; Instagram:https://www.instagram.com/reel/DUXjwrDEkfg; Instagram:https://www.instagram.com/reel/DUXnHLjEtVS; KakaoTalk:http://pf.kakao.com/_ggFQG; KakaoTalk:https://pf.kakao.com/_ggFQG; NaverBlog:https://blog.naver.com/healtheory; NaverBooking:https://m.booking.naver.com/booking/13/bizes/1205637; Phone:tel:027111606; Phone:tel:027113031; YouTube:https://www.youtube.com/@Drevers,
1122,온앤업의원,https://blog.naver.com/honeysuckle266971,,,success,1,1,Yes,김범수(원장),NaverBlog:https://blog.naver.com/PostList.naver?blogId=honeysuckle266971&widgetTypeCall=true&noTrackingCode=true&directAccess=true,
1218,다미의원,http://www.damiskinmapo.com/,http://www.damiskinmapo.com/main/index.php,,partial,0,1,Yes,김세환(원장),,No social channels found
1431,더청담의원,https://blog.naver.com/ssm8240,,,partial,1,0,No,,NaverBlog:https://blog.naver.com/PostList.naver?blogId=ssm8240&widgetTypeCall=true&noTrackingCode=true&directAccess=true,No doctors found
1470,밀리의원,http://miliclinic.com/,https://www.miliclinic.com/en/sinchon,,success,7,1,Yes,김혜원(대표원장),Instagram:https://www.instagram.com/sinchon.miliclinic; KakaoTalk:https://pf.kakao.com/_mxadwxb; Line:https://lin.ee/sojPLzgK; Phone:tel:82263371212; WeChat:https://mp.weixin.qq.com/s/U3J4SX5NmHNIuaYASOZ-XA; WeChat:https://www.miliclinic.com/_next/image?url=%2Fimages%2Ficons%2Fwechat.png&w=3840&q=75&dpl=dpl_FmXHQvT5qYbuJ4aqgyWtWjE34ygs; WhatsApp:https://wa.me/821023834697,
1506,유온느의원,https://uonneclinic.co.kr,https://uonneclinic.co.kr/,imweb,success,6,1,Yes,문성민(대표원장),Instagram:https://www.instagram.com/uonneclinic; KakaoTalk:https://pf.kakao.com/_LELan/chat; NaverBlog:https://blog.naver.com/ysy02126; NaverBooking:https://m.booking.naver.com/booking/13/bizes/1453566?theme=place&service-target=map-pc&lang=ko&area=plt&map-search=1; Phone:tel:023326560; YouTube:https://www.youtube.com/@%EC%8B%9C%EA%B0%84%EC%9D%84%EB%8A%A6%EC%B6%94%EB%8A%94%EC%9D%98%EC%82%AC,
1632,리즈온의원홍대점,http://hongdae.lizonclinics.co.kr,https://hongdae.lizonclinics.co.kr/,,partial,0,0,No,,,No data extracted
1651,쁨글로벌의원,https://global.ppeum6.com/,https://global.ppeum6.com/?lan=global_eng,,partial,4,0,No,,Phone:tel:821038315483; Phone:tel:821065913730; Phone:tel:821097523730; WhatsApp:https://wa.me/821038315483,No doctors found
1652,올라인의원,https://www.alllineclinic.com/,,,success,2,1,Yes,나민균(대표원장),KakaoTalk:http://pf.kakao.com/_DDxdZn/chat; Phone:tel:15337517,
1653,유픽의원,https://blog.naver.com/rkdgkwns43210,,,partial,1,0,No,,NaverBlog:https://blog.naver.com/PostList.naver?blogId=rkdgkwns43210&widgetTypeCall=true&parentCategoryNo=9&noTrackingCode=true&directAccess=true,No doctors found
