NO,병원명,홈페이지,CMS,v14_상태,v14_채널수,v14_의사수,v14_의료진페이지,v14_추출된의사,v16_상태,v16_채널수,v16_의사수,v16_의료진페이지,v16_추출된의사,변화,비고
15,톡스앤필의원,http://www.toxnfill10.com/,,success,6,5,Yes,"조성우; 양희진; 정민지; 문지연; 우대표",success,6,5,Yes,"조성우; 양희진; 정민지; 문지연; 우대표",유지,
165,스타일미의원,http://www.stylemeclinic.co.kr/,imweb,success,4,1,Yes,노재웅(원장),success,4,1,Yes,노재강(원장),유지,이름 미세 차이(웅→강) OCR 오차 가능
413,톡스앤필의원,http://www.toxnfill1.com/,,success,8,12,Yes,"박대정; 김형태; 김미리; 김민영; 김민아; 김성원; 정지원; 조하빈; 김관우; 이종건; 노신영; 이혜원",success,7,14,Yes,"박대정; 김형태; 김미리; 김민영; 김민아; 김성원; 정지원; 조하빈; 김관우; 이종건; 노신영; 이혜원; 정대표; 태부",의사+2,"정대표, 태부는 garbage name"
418,나세르의원,http://petitnacer.com,,success,1,1,Yes,조준호(원장),success,1,1,Yes,조준호(원장),유지,
499,자연예쁨의원,http://nb-skin.com/,,success,5,2,Yes,"이은영(원장); 서봉경(원장)",success,5,2,Yes,"이은영(원장); 서봉경(원장)",유지,
534,조은날의원,http://www.joeunnalclinic.com,,success,5,1,Yes,임기학(대표원장),success,5,1,Yes,임기학(대표원장),유지,
549,시아의원,https://gangnam.sia-clinic.com/,,partial,5,0,No,,success,5,4,Yes,"이우열; 김성민; 박상원 (+의료진 소개)",개선,"partial→success. 의료진 소개는 garbage name"
631,에이원의원,https://www.aoneclinic.co.kr,,not_crawled,0,0,,,not_crawled,0,0,,,유지,DB에 없음
686,이즈의원,https://izclinic.co.kr/scar,imweb,success,4,3,Yes,"정라겸(원장); 허가영(원장); 손선경(원장)",partial,4,0,No,,퇴보,"success→partial. imweb 이미지 기반 페이지 OCR 전체 실패"
702,이지의원,https://www.ezyclinic.co.kr,,not_crawled,0,0,,,not_crawled,0,0,,,유지,DB에 없음
721,연세모에버의원,https://www.moever.co.kr,,success,2,1,Yes,강세훈(원장),success,2,1,Yes,강세훈(원장),유지,
732,닥터크리미의원,http://drcreamy.com/,,success,6,1,Yes,이석용(대표원장),success,6,1,Yes,이석용(대표원장),유지,
884,리오셀의원,https://liocellclinic.com/,wordpress,success,8,1,Yes,서인예(대표원장),success,8,1,Yes,서인예(대표원장),유지,
984,더블유의원,http://www.wclinic.co.kr,,not_crawled,0,0,,,not_crawled,0,0,,,유지,DB에 없음
1069,연세뷰티의원,http://www.ysbclinic.com/,,success,2,1,Yes,김윤애(원장),success,2,1,Yes,김윤애(원장),유지,
1249,르모아의원,http://lemoirclinic.com,wordpress,partial,6,0,Yes,,success,6,1,Yes,홍란(대표원장),개선,"partial→success. About 페이지 스캔 + 이름검증→OCR 폴백"
1351,청담잇츠미의원,http://itsme1.kr/,,success,5,1,Yes,김한구(대표원장),success,5,1,Yes,김한구(대표원장),유지,
1441,클리니크후즈후의원,http://www.cliniquehushu.com/,,success,7,5,Yes,"홍경국; 이규엽; 오세웅; 최윤진; 박혜란",success,7,5,Yes,"홍경국; 이규엽; 오세웅; 최윤진; 박혜란",유지,
1585,이에스의원,http://www.esbeauty.kr,,success,2,2,Yes,"윤지은(원장); 박상혁(원장)",success,2,2,Yes,"윤지은(원장); 박상혁(원장)",유지,
1714,샤인빔의원,http://hongdae.shinebeam.co.kr/,,success,1,6,Yes,"조우현; 이윤영; 정현수; 이혜승; 이주원; 김동원",success,1,6,Yes,"조우현; 이윤영; 정현수; 이혜승; 이주원; 김동원",유지,
1742,바른의원,https://www.barunclinic.com,,not_crawled,0,0,,,not_crawled,0,0,,,유지,DB에 없음
1799,우미의원,https://umi-clinic.com,,success,6,2,Yes,"김상우(대표원장); 허지은(원장)",success,6,1,Yes,윤종우(대표원장),퇴보(의사수),"의사 2→1. 다른 후보 페이지에서 OCR 결과 달라짐"
2510,차앤유의원,http://www.cnuclinic.co.kr/,,success,3,20,Yes,"이은진; 조성훈; 방아진; 구윤모; 이종건; 정소정; 남호수; 권윤미; 유종호; 신종훈; 이채현; 박재서; 육지혜; 조희종; 김탁영; 정선진; 백성준; 차은지; 이영섭; 유민영",success,3,20,Yes,"이은진; 조성훈; 방아진; 구윤모; 이종건; 정소정; 남호수; 권윤미; 유종호; 신종훈; 이채현; 박재서; 육지혜; 조희종; 김탁영; 정선진; 백성준; 차은지; 이영섭; 유민영",유지,
