NO,hospital_name,status,CMS,channels,doctors,doctor_page_exists,doctor_names,errors
15,"톡스앤필의원",success,"",6,5,1,"조성우(specialist); 양희진(specialist); 정민지(specialist); 문지연(specialist); 우대표(원장)",
165,"스타일미의원",success,imweb,4,1,1,"노재강(원장)",
413,"톡스앤필의원",success,"",7,14,1,"박대정(specialist); 김형태(specialist); 김미리(specialist); 김민영(specialist); 김민아(specialist); 김성원(specialist); 정지원(specialist); 조하빈(specialist); 김관우(specialist); 이종건(specialist); 노신영(specialist); 이혜원(specialist); 정대표(원장); 태부(대표원장)",
418,"나세르의원",success,"",1,1,1,"조준호(원장)",
499,"자연예쁨의원",success,"",5,2,1,"이은영(원장); 서봉경(원장)",
534,"조은날의원",success,"",5,1,1,"임기학(대표원장)",
549,"시아의원",success,"",5,4,1,"의료진 소개(specialist); 이우열(specialist); 김성민(specialist); 박상원(specialist)",
686,"이즈의원",partial,imweb,4,0,0,,"Rule-based (3 candidates) + AI navigation all failed. Screenshot: /Users/woogi/Development/claude-craft/data/clinic-results/screenshots/686_doctors.jpg"
721,"연세모에버의원",success,"",2,1,1,"강세훈(원장)",
732,"닥터크리미의원",success,"",6,1,1,"이석용(대표원장)",
884,"리오셀의원",success,wordpress,8,1,1,"서인예(대표원장)",
1069,"연세뷰티의원",success,"",2,1,1,"김윤애(원장)",
1249,"르모아의원",success,wordpress,6,1,1,"홍란(대표원장)",
1351,"청담잇츠미의원",success,"",5,1,1,"김한구(대표원장)",
1441,"클리니크후즈후의원",success,"",7,5,1,"홍경국(원장); 이규엽(원장); 오세웅(원장); 최윤진(원장); 박혜란(원장)",
1585,"이에스의원",success,"",2,2,1,"윤지은(원장); 박상혁(원장)",
1714,"샤인빔의원",success,"",1,6,1,"조우현(원장); 이윤영(원장); 정현수(원장); 이혜승(원장); 이주원(원장); 김동원(원장)",
1799,"우미의원",success,"",6,1,1,"윤종우(대표원장)",
2510,"차앤유의원",success,"",3,20,1,"이은진(원장); 조성훈(원장); 방아진(원장); 구윤모(원장); 이종건(원장); 정소정(원장); 남호수(원장); 권윤미(원장); 유종호(원장); 신종훈(원장); 이채현(원장); 박재서(원장); 육지혜(원장); 조희종(원장); 김탁영(원장); 정선진(원장); 백성준(원장); 차은지(원장); 이영섭(원장); 유민영(원장)",
3763,"예쁨주의쁨의원",success,"",1,15,1,"구윤경(전문의); 서지훈(전문의); 김정혁(대표원장); 김승범(대표원장); 강석훈(대표원장); 박본우(원장); 진호성(원장); 최선욱(전문의); 김태범(대표원장); 김지훈(대표원장); 심혜선(원장); 이민기(원장); 유안지(대표원장); 박동찬(원장); 원대표(원장)",
10651,"더힐피부과의원",success,wordpress,3,7,1,"김건(대표원장, 피부과 전문의 | 의학박사); 이주희(대표원장, 피부과 전문의); 최성준(대표원장, 피부과 전문의); 이미소(대표원장, 피부과 전문의); 고은정(대표원장, 피부과 전문의 | 의학박사); 우주연(대표원장, 피부과 전문의); 전희진(대표원장, 피부과 전문의)",
10777,"인샤인피부과의원",success,"",6,2,1,"윤성환(피부과 전문의, 대표원장); 윤재일(피부과 전문의, 원장)",
10857,"서울레전드피부과의원",success,"",2,1,1,"나선재(서울레전드피부과 대표원장 / 피부과 전문의)",
