NO,"병원명","홈페이지","Final URL",CMS,"상태","채널수","의사수","의료진페이지","추출된의사","추출된채널","partial사유","에러로그"
33,"리부팅의원",https://rebootingclinic.co.kr/,https://www.rebootingclinic.co.kr/,"",success,5,1,Yes,"박요한(specialist)","Instagram:https://www.instagram.com/rebootingclinic; KakaoTalk:https://pf.kakao.com/_xbKhGG; NaverBlog:https://blog.naver.com/rebootingclinic2040; Phone:tel:025222040; Phone:tel:025872040","",
248,"블리스의원",https://www.fybliss-clinic.com,https://www.fybliss-clinic.com/,wix,success,8,1,Yes,"신승희(대표원장)","Instagram:http://www.instagram.com/bliss_clinic; Instagram:https://www.instagram.com/bliss_clinic; KakaoTalk:http://pf.kakao.com/_adMxmG; KakaoTalk:https://pf.kakao.com/_adMxmG; NaverMap:https://map.naver.com/p/entry/place/1109875748?placePath=%2Fhome; Phone:tel:01027299678; Phone:tel:025954273; Phone:tel:025957386","",
1179,"모앤블레스의원",http://www.moandbless.co.kr/,"","",partial,0,2,Yes,"신경균(대표원장, 의학박사); 김승현(원장)",,"채널 미추출 (의사 2명 추출됨)","Page.evaluate: TypeError: Cannot read properties of null (reading 'innerText')
    at eval (eval at evaluate (:290:30), <anonymous>:161:36)
    at UtilityScript.evaluate (<anonymous>:297:18)
    at Ut"
1392,"도곡유스앤영의원",https://youthandyoungdg.com/,"",imweb,success,6,1,Yes,"박재성(대표원장)","Instagram:https://www.instagram.com/youth8young_dg; KakaoTalk:http://pf.kakao.com/_GaVYb; KakaoTalk:https://pf.kakao.com/_GaVYb; NaverBlog:https://blog.naver.com/dg_youthandyoung; NaverBlog:https://blog.naver.com/equal8163; Phone:tel:025557900","",
1457,"메이퓨어의원",https://www.maypureclinic.com/ko/,https://www.maypureclinic.com/,"",success,2,46,Yes,"이창윤(specialist); 최희원(specialist); 서형철(specialist); 장진권(specialist); 최준석(specialist); 이석호(specialist); 윤광원(specialist); 박상희(specialist); 박준태(specialist); 김윤병(specialist); 최의제(specialist); 문은혜(specialist); 김휘강(specialist); 윤동진(specialist); 윤호석(specialist); 박정진(specialist); 최원영(specialist); 임다정(specialist); 최민제(specialist); 김운집(specialist); 이은지(specialist); 안병찬(specialist); 권다해(specialist); 김종태(specialist); 안광은(specialist); 정하영(specialist); 김자영(specialist); 김진구(specialist); 오승현(specialist); 박재형(specialist); 권도영(specialist); 이상범(specialist); 박새영(specialist); 박석용(specialist); 임찬영(specialist); 권동우(specialist); 이혜규(specialist); 김하영(specialist); 박기병(specialist); 장인혁(specialist); 강병훈(specialist); 정승은(specialist); 전민주(specialist); 유지상(specialist); 최우혁(specialist); 송완석(specialist)","KakaoTalk:https://pf.kakao.com/_qkHdT; Phone:tel:0222789990","",
1575,"로이셀의원",http://www.roycelclinic.com/,"","",success,5,1,Yes,"김대원(대표원장)","Facebook:https://www.facebook.com/share/1JmUp3NnTN?mibextid=wwXIfr; Instagram:https://www.instagram.com/roycelclinic_chungdam; KakaoTalk:https://pf.kakao.com/_rxfMPn; Line:https://line.me/ti/p/GfT5Dr29ry; NaverBooking:https://map.naver.com/p/entry/place/1967019662?lng=127.0457851&lat=37.5270962&placePath=%2Fbooking%3FbookingRedirectUrl%3Dhttps%3A%2F%2Fm.booking.naver.com%2Fbooking%2F13%2Fbizes%2F1390487%3Ftheme%3Dplace%26entry%3Dpll%26lang%3Dko%26entry%3Dpll&area=pll&c=15.00%2C0%2C0%2C0%2Cdh","",
1709,"명동닥터에버스의원",https://evers20.co.kr/,"",imweb,success,12,1,Yes,"김정환(원장)","Instagram:https://www.instagram.com/drevers_Myeongdong; Instagram:https://www.instagram.com/drevers_official; Instagram:https://www.instagram.com/p/DUP-eEUlLWm; Instagram:https://www.instagram.com/p/DUkbgYnE9Hh; Instagram:https://www.instagram.com/reel/DUXvMWQgAfM; KakaoTalk:https://pf.kakao.com/_Wxksxln; NaverBlog:https://blog.naver.com/eversmd02; NaverBooking:https://m.booking.naver.com/booking/13/bizes/1301363; NaverBooking:https://m.booking.naver.com/booking/13/bizes/1301363/items/6413395; Phone:tel:023182010; Phone:tel:041422646; YouTube:https://www.youtube.com/@Drevers","",
3612,"노블클래식의원",https://axillacenter.com/,"","",success,9,1,Yes,"이욱(대표원장)","KakaoTalk:http://pf.kakao.com/_hmdnxd; KakaoTalk:https://pf.kakao.com/_hmdnxd; NaverBlog:http://blog.naver.com/nobledermato; NaverBlog:https://blog.naver.com/nobledermato; Phone:tel:0304227582; Phone:tel:0318928165; Phone:tel:0318928168; YouTube:http://www.youtube.com/channel/UCuH6stMe7_Q9XqtMPOTqM3g; YouTube:https://www.youtube.com/channel/UCuH6stMe7_Q9XqtMPOTqM3g","",
3818,"소이엘의원",https://soiel.kr/,"","",success,2,4,Yes,"김송이(대표원장); 홍서희(부원장); 김현탁(원장); 채은영(원장)","KakaoTalk:http://pf.kakao.com/_xeeZrxd; Phone:tel:0314024842","",
4111,"광교 닥터에버스의원",https://evers30.co.kr/,"",imweb,success,12,1,Yes,"이진희(대표원장)","Instagram:https://www.instagram.com/drevers_gwanggyo; Instagram:https://www.instagram.com/p/DSY2or0kxTO; Instagram:https://www.instagram.com/p/DUkbwI_E-Gz; Instagram:https://www.instagram.com/reel/DUVFgwtE9XF; Instagram:https://www.instagram.com/reel/DUXlXJmEuRb; KakaoTalk:http://pf.kakao.com/_xgxfmQn; KakaoTalk:https://pf.kakao.com/_xgxfmQn; NaverBlog:https://blog.naver.com/drgwgy2; NaverBooking:https://booking.naver.com/booking/13/bizes/1571384?theme=place&lang=ko&area=pll; Phone:tel:03180090072; Phone:tel:03180090076; YouTube:https://www.youtube.com/@Drevers","",
4319,"스위스의원",http://www.swissbeauty.co.kr,http://www.swissbeauty.co.kr/,"",success,4,2,Yes,"심우승(대표원장); 박준성(원장)","KakaoTalk:https://pf.kakao.com/_TxgxmJl; NaverCafe:https://cafe.naver.com/swissclinic; Phone:tel:0312411175; YouTube:https://www.youtube.com/channel/UClT5m470V0cuZRIwlzlDgoA","",
5035,"데이샤인의원",http://dayshineclinic.co.kr/,"","",partial,0,1,Yes,"신동휘(대표원장)",,"채널 미추출 (의사 1명 추출됨)",
5620,"다시봄날의원",https://pt.springdayclinic.com,https://pt.springdayclinic.com/,imweb,success,8,1,Yes,"양현정(평택점 대표원장)","Instagram:http://www.instagram.com/springdayclinic_pt; Instagram:https://www.instagram.com/springdayclinic__pt; KakaoTalk:http://pf.kakao.com/_UAJqG; KakaoTalk:http://pf.kakao.com/_xexcDwK; KakaoTalk:https://pf.kakao.com/_UAJqG; NaverBlog:http://blog.naver.com/springdayclinic3; NaverBlog:https://blog.naver.com/springdayclinic_03; Phone:tel:03180887575","",
5838,"서울나인앤의원",http://www.9nclinic.com,http://www.9nclinic.com/,"",success,6,1,Yes,"구윤수(대표원장)","Instagram:https://www.instagram.com/seoul9nclinic.ca; KakaoTalk:https://pf.kakao.com/_JmEXb; NaverBlog:https://blog.naver.com/aktkvkk; NaverBooking:https://booking.naver.com/booking/13/bizes/639427; Phone:tel:0414145929; YouTube:https://m.youtube.com/@9NCLINIC","",
8610,"필앤톡의원",http://www.fillntoc.com,https://www.fillntoc.com/,"",success,3,2,Yes,"이연진(대표원장); 장광수(원장)","KakaoTalk:http://pf.kakao.com/_LIxcXxl; NaverMap:https://map.naver.com/p/entry/place/1034868995?placePath=%2Fhome; Phone:tel:0617235303","",
