"NO","Hospital","Status","Homepage","Channels","Doctors","Channel Count","Doctor Name","Role","Source","Photo","Education (top 3)","Career (top 3)","Credentials (top 3)","Final URL"
"15","톡스앤필의원","success","http://www.toxnfill10.com/","[Facebook] https://www.facebook.com/toxnfill.official
[Instagram] https://www.instagram.com/toksfill
[KakaoTalk] http://pf.kakao.com/_fxhxlTM
[NaverBlog] https://blog.naver.com/toxnfill10
[Phone] tel:028737979
[YouTube] https://www.youtube.com/channel/UCFpFZkm7mclD-z_-j7FTUag","4","6","조성우","specialist","dom","Y","","대표원장 | - 면허번호 ****08","","https://www.toxnfill10.com/"
"15","톡스앤필의원","success","http://www.toxnfill10.com/","[Facebook] https://www.facebook.com/toxnfill.official
[Instagram] https://www.instagram.com/toksfill
[KakaoTalk] http://pf.kakao.com/_fxhxlTM
[NaverBlog] https://blog.naver.com/toxnfill10
[Phone] tel:028737979
[YouTube] https://www.youtube.com/channel/UCFpFZkm7mclD-z_-j7FTUag","4","6","양희진","specialist","dom","Y","","원장 | - 면허번호 ****49 | 원장","","https://www.toxnfill10.com/"
"15","톡스앤필의원","success","http://www.toxnfill10.com/","[Facebook] https://www.facebook.com/toxnfill.official
[Instagram] https://www.instagram.com/toksfill
[KakaoTalk] http://pf.kakao.com/_fxhxlTM
[NaverBlog] https://blog.naver.com/toxnfill10
[Phone] tel:028737979
[YouTube] https://www.youtube.com/channel/UCFpFZkm7mclD-z_-j7FTUag","4","6","정민지","specialist","dom","Y","","","","https://www.toxnfill10.com/"
"15","톡스앤필의원","success","http://www.toxnfill10.com/","[Facebook] https://www.facebook.com/toxnfill.official
[Instagram] https://www.instagram.com/toksfill
[KakaoTalk] http://pf.kakao.com/_fxhxlTM
[NaverBlog] https://blog.naver.com/toxnfill10
[Phone] tel:028737979
[YouTube] https://www.youtube.com/channel/UCFpFZkm7mclD-z_-j7FTUag","4","6","문지연","specialist","dom","Y","","","","https://www.toxnfill10.com/"
"165","스타일미의원","partial","http://www.stylemeclinic.co.kr/","[KakaoTalk] https://pf.kakao.com/_tfyyl
[NaverBooking] https://m.booking.naver.com/booking/13/bizes/460852?theme=place&lang=ko
[NaverMap] https://map.naver.com/p/entry/place/13289689?placePath=%2Fhome
[Phone] tel:028329359","0","4","","","","","","","","http://www.stylemeclinic.co.kr/"
"418","나세르의원","partial","http://petitnacer.com","[KakaoTalk] https://pf.kakao.com/_tTxckC","0","1","","","","","","","","http://petitnacer.com/"
"499","자연예쁨의원","success","http://nb-skin.com/","[KakaoTalk] http://pf.kakao.com/_xgjeLM
[KakaoTalk] https://pf.kakao.com/_xgjeLM
[NaverBooking] https://m.booking.naver.com/booking/13/bizes/1060243/items/5583168?area=ple&startDate=2024-05-24&theme=place
[NaverMap] https://map.naver.com/p/entry/place/37774557?placePath=%252Fhome%253Fentry%253Dplt&searchType=place&lng=127.0265531&lat=37.5010824&c=15.00%2C0%2C0%2C0%2Cdh
[Phone] tel:025585058","2","5","이은영","원장","dom","Y","현) 한양대학교병원 임상외래 조교수 | 이화여자대학교 의과대학 의학 석사 | 이화여자대학교 이대목동병원 전공의","병원소개 | 병원둘러보기 | 전) 용인미하나클리닉 원장","대한미용성형레이저의학회 회원 | 대한레이저피부모발학회 회원 | 대한일차진료학회 회원","http://nb-skin.com/"
"499","자연예쁨의원","success","http://nb-skin.com/","[KakaoTalk] http://pf.kakao.com/_xgjeLM
[KakaoTalk] https://pf.kakao.com/_xgjeLM
[NaverBooking] https://m.booking.naver.com/booking/13/bizes/1060243/items/5583168?area=ple&startDate=2024-05-24&theme=place
[NaverMap] https://map.naver.com/p/entry/place/37774557?placePath=%252Fhome%253Fentry%253Dplt&searchType=place&lng=127.0265531&lat=37.5010824&c=15.00%2C0%2C0%2C0%2Cdh
[Phone] tel:025585058","2","5","서봉경","원장","dom_text","N","현) 한양대학교병원 임상외래 조교수 | 이화여자대학교 의과대학 의학 석사 | 이화여자대학교 이대목동병원 전공의","","대한레이저피부모발학회 회원 | 대한일차진료학회 회원 | 대한비만체형학회 회원","http://nb-skin.com/"
"512","강남연세라인의원","success","http://www.ylclinic.com/","[Instagram] https://www.instagram.com/ylclinic_no.1
[KakaoTalk] https://open.kakao.com/o/sdrc6j1b
[NaverBlog] https://blog.naver.com/sadhiowehh34
[NaverCafe] https://cafe.naver.com/adecoder
[Phone] tel:025012061
[Phone] tel:025632060
[YouTube] https://www.youtube.com/@%EB%8F%99%EC%95%88%EC%9D%98%EB%B9%84%EA%B2%B0%EA%B0%95%EB%82%A8%EC%97%B0%EC%84%B8%EB%9D%BC
[YouTube] https://www.youtube.com/@user-rs1mn4ww4z","1","8","안성환","대표원장","dom_text","N","연세대학교 의학 석·박사 | 연세대학교 의과대학 외래교수","","전) 대한 미용성형레이저학회 부회장 | 전) 대한 필러학회 부회장","http://www.ylclinic.com/"
"534","조은날의원","partial","http://www.joeunnalclinic.com","[Instagram] https://www.instagram.com/joeunnal_clinic
[KakaoTalk] https://pf.kakao.com/_ydcxlK
[NaverBlog] https://blog.naver.com/sunny4092
[Phone] tel:025386788
[Phone] tel:025406787","0","5","","","","","","","","http://www.joeunnalclinic.com/"
"549","시아의원","partial","https://gangnam.sia-clinic.com/","[Instagram] https://www.instagram.com/siaclinic_kr
[KakaoTalk] https://pf.kakao.com/_hxbdxkn
[NaverMap] https://map.naver.com/p/entry/place/2069038371?placePath=%2Fhome
[Phone] tel:025127117
[Phone] tel:8202025127117","0","5","","","","","","","","https://gangnam.sia-clinic.com/"
"573","홀드의원","success","https://holdclinicgn.com/","[KakaoTalk] https://pf.kakao.com/_ixceQG/chat
[Line] https://line.me/R/ti/p/@134cqvsq?from=page&accountId=134cqvsq
[NaverBooking] https://booking.naver.com/booking/13/bizes/1206745
[Phone] tel:024167584
[Phone] tel:024167585
[WhatsApp] https://wa.me/821059487585","1","6","강대영","대표원장","dom_text","N","","탈모 클리닉 | 스킨 클리닉 | ･전)예뻐진클리닉 잠실송파점 원장","･대한미용외과학회 정회원 | ･대한미용성형레이저학회 정회원 | ･대한비만연구의사회 정회원","https://holdclinicgn.com/ko"
"686","이즈의원","partial","https://izclinic.co.kr/scar","[KakaoTalk] http://pf.kakao.com/_lfuju/chat
[KakaoTalk] https://pf.kakao.com/_lfuju
[NaverMap] https://map.naver.com/p/entry/place/1632971337?lng=127.0310777&lat=37.4993492&placePath=%2Fhome&searchType=place
[Phone] tel:025013313","0","4","","","","","","","","https://izclinic.co.kr/scar"
"721","연세모에버의원","partial","https://www.moever.co.kr","[Phone] tel:025407585
[Phone] tel:025407588","0","2","","","","","","","","https://www.moever.co.kr/"
"732","닥터크리미의원","partial","http://drcreamy.com/","[Facebook] https://www.facebook.com/%EB%8B%A5%ED%84%B0%ED%81%AC%EB%A6%AC%EB%AF%B8_%EC%8B%A0%EC%82%AC%EC%A0%90-168343577343943
[Instagram] https://www.instagram.com/dr_creamy
[KakaoTalk] http://pf.kakao.com/_mAMxhl
[NaverCafe] http://cafe.naver.com/apinkatudia
[NaverMap] https://map.naver.com/p/search/%EB%8B%A5%ED%84%B0%ED%81%AC%EB%A6%AC%EB%AF%B8%EC%9D%98%EC%9B%90?c=14139781.8722964%2C4511393.570219308%2C16%2C0%2C0%2C0%2Cdh
[Phone] tel:025180097","0","6","","","","","","","","http://body.drcreamy.com/website01/"
"884","리오셀의원","partial","https://liocellclinic.com/","[Instagram] https://www.instagram.com/liocellclinic
[KakaoTalk] https://pf.kakao.com/_xmxagwn/chat
[NaverBooking] https://m.booking.naver.com/booking/13/bizes/1404817?theme=place&service-target=map-pc&lang=ko&area=plt&map-search=1
[Phone] tel:025151546
[Phone] tel:82025151546
[WeChat] https://u.wechat.com/kC9-kQZgF0J76D9CoOCSkHs?s=0
[WhatsApp] https://wa.me/message/I2DGDUZYBKM3K1?src=qr
[YouTube] https://www.youtube.com/@%EB%A6%AC%EC%98%A4%EC%85%80%EC%9D%98%EC%9B%90","0","8","","","","","","","","https://liocellclinic.com/"
"1069","연세뷰티의원","partial","http://www.ysbclinic.com/","[Facebook] https://www.facebook.com/%EC%97%B0%EC%84%B8%EB%B7%B0%ED%8B%B0%ED%81%B4%EB%A6%AC%EB%8B%89-%EC%97%B0%EC%84%B8%EB%B7%B0%ED%8B%B0%EC%9D%98%EC%9B%90-1531083407161091
[NaverBlog] http://blog.naver.com/ysbclinic","0","2","","","","","","","","https://www.ysbclinic.com/"
