id,name,naver_place_id,website,address,sido,sggu,dong,region,chain_group
2108,명동 리더스피부과의원,12956955,https://leaders-md.com/,서울특별시 중구 퇴계로 72 SK리더스뷰남산 B1층 명동리더스피부과의원,서울,중구,회현동,서울/중구,leaders
2006,올의원,36883029,http://www.allclinic.co.kr,"서울특별시 중구 퇴계로 132 3층, 4층 올클리닉피부과",서울,중구,남산동,서울/중구,
2007,다오의원,1071177575,https://clinicdao.com,"서울특별시 중구 퇴계로 123 9층 9011호, 9012호",서울,중구,,서울/중구,
2034,단아의원,33050228,http://myeongdongclinic.com/,서울특별시 중구 명동7길 21 명동아르누보센텀 3층,서울,중구,,서울/중구,
2044,라민의원,1272366785,http://lamine.co.kr,서울특별시 중구 무교로 19 더익스체인지서울몰 5층 라민의원,서울,중구,무교동,서울/중구,
2821,루비의원,12853234,http://www.rubyclinic.co.kr/,서울특별시 중구 명동길 65 보림빌딩 5층 루비의원,서울,중구,명동,서울/중구,
2012,리진의원,2063784021,https://www.lijinclinic.com/,서울특별시 중구 남대문로 55 3층,서울,중구,,서울/중구,
2016,메이의원,1037398235,http://mayclinic.kr/,서울특별시 중구 명동8길 14 3층,서울,중구,명동,서울/중구,
2043,어뉴의원,33703613,https://anewskin.kr/,서울특별시 중구 무교로 12 7층,서울,중구,무교동,서울/중구,
2027,우미의원,2020278752,https://umi-clinic.com,서울특별시 중구 명동7길 13 2층,서울,중구,명동,서울/중구,
3238,카린의원,1660028548,https://www.karinclinic.co.kr/,서울특별시 중구 명동10길 18 세림빌딩 4층,서울,중구,명동,서울/중구,
2001,뮤즈의원 명동,114783230,http://myeongdong.museclinic.co.kr,서울특별시 중구 퇴계로 97 3층,서울,중구,,서울/중구,
2038,밴스의원 명동,1632298593,https://myeongdong.vandsclinic.co.kr/,서울특별시 중구 남대문로 90 세미콜론명동 11층,서울,중구,,서울/중구,vandsclinic
2021,유픽의원 명동,2000756860,https://md.upicclinic.com/,서울특별시 중구 명동길 14 Noon Square 5층,서울,중구,명동,서울/중구,
2982,셀린의원 명동점,1062567443,https://www.cellinclinic8.com,서울특별시 중구 남대문로7길 16 1층 셀린의원 명동,서울,중구,소공동,서울/중구,
3245,클림의원 명동점,1071440771,https://myeongdong.kleam.kr/,"서울특별시 중구 명동길 43 4, 5층",서울,중구,명동,서울/중구,
2039,톤즈의원 명동역,2005677330,https://tonesclinic.com/myeongdong,서울특별시 중구 남대문로 90 세미콜론 명동 14층,서울,중구,,서울/중구,
3010,써밋의원 광화문역,1551808137,http://www.summitclinic.co.kr/,서울특별시 중구 세종대로22길 12 광화문G스퀘어 3층,서울,중구,,서울/중구,
2121,맑은성모 피부과의원,36276317,http://www.clearmary.com/,서울특별시 중구 동호로 189 3층,서울,중구,신당동,서울/중구,
1999,더이다의원,19503844,https://www.idaclinic.kr/,"서울특별시 중구 동호로11길 113 3,4층",서울,중구,신당동,서울/중구,
2026,리나인의원,2052956596,https://www.renine.kr/,서울특별시 중구 소공로 116 서울센터빌딩 2층,서울,중구,소공동,서울/중구,
2882,미라벨의원,1427895211,http://www.mirabelclinic.co.kr/,서울특별시 중구 동호로 163 4층,서울,중구,신당동,서울/중구,
2088,블루미의원,1101117273,https://www.bloomingclinic.co.kr/,서울특별시 중구 명동3길 44 5층,서울,중구,,서울/중구,
2047,비엘티의원,11482708,https://bltclinic.co.kr/,서울특별시 중구 장충단로 263 동대문 밀리오레 13층,서울,중구,,서울/중구,
3000,슬림영의원,1673245622,https://www.slimyoung.co.kr/,서울특별시 중구 명동8나길 9 4층,서울,중구,,서울/중구,
2013,에비아의원,2048323974,https://eviaclinic.com,서울특별시 중구 명동8가길 11 5층 에비아의원,서울,중구,명동,서울/중구,
3269,플로레의원,20150679,http://www.fulore.co.kr,서울특별시 중구 명동10길 41 챔피언빌딩 6층,서울,중구,,서울/중구,
2002,디아브의원 명동,1746992819,https://diav.clinic,서울특별시 중구 퇴계로 109 601호,서울,중구,,서울/중구,
2018,리엔장의원 명동,1340650914,https://intro.lienjang.net/re/Tzwcvu,서울특별시 중구 명동길 14 눈스퀘어 5층,서울,중구,명동,서울/중구,
2863,뷰티온의원 명동,2078856916,https://myeongdong.beautyon.co.kr/,서울특별시 중구 남대문로 90 16층,서울,중구,,서울/중구,
3017,아비쥬의원 명동,13486335,http://www.wynnclinic.com,서울특별시 중구 남대문로 78 타임워크빌딩 B1층,서울,중구,명동,서울/중구,
2036,데이뷰의원 명동점,1159646885,https://daybeauclinic11.com,서울특별시 중구 남대문로 90 명동 N빌딩 6층,서울,중구,,서울/중구,
2022,리버스의원 명동역,30824173,http://md.reverseclinic.com,서울특별시 중구 명동길 26 유네스코회관 8층,서울,중구,명동,서울/중구,
2861,리베리의원 명동점,1637186355,https://md.reberryclinic.com/,"서울특별시 중구 명동10길 58 2층 201호, 3층 301호",서울,중구,,서울/중구,
2019,리엘르의원 명동점,2051368286,https://md.re-ele.com/,서울특별시 중구 명동길 14 5층,서울,중구,명동,서울/중구,
2029,블리비의원 명동점,1053642172,http://www.velyb.kr/,서울특별시 중구 남대문로 84 하이드파크 6층,서울,중구,,서울/중구,
2015,제이디의원 명동점,20243343,http://www.truebeauty.co.kr,서울특별시 중구 남대문로 68 고려빌딩 6층,서울,중구,명동,서울/중구,
2033,그랑메디의원,11736684,http://www.granmedi.co.kr,서울특별시 중구 명동7길 21 4층 406호,서울,중구,,서울/중구,
2046,뉴페이스의원,1102257927,https://www.newfaceclinic.kr,서울특별시 중구 장충단로13길 7 6층,서울,중구,,서울/중구,
2028,메디코스의원,11670382,http://www.medicos.co.kr/,"서울특별시 중구 명동7가길 20 4층,5층",서울,중구,,서울/중구,
2017,빛이난다의원,1351678354,http://btnanda.com,서울특별시 중구 명동8길 8-9,서울,중구,명동,서울/중구,
2011,소중한나의원,12942979,http://www.valuable-me.com/,서울특별시 중구 서소문로 120 ENA센터빌딩 5층 503호,서울,중구,서소문동,서울/중구,
2035,커브라인의원,2031699186,https://curvelineclinic.com,"서울특별시 중구 명동9가길 21 외교빌딩 2, 3, 4, 5층",서울,중구,,서울/중구,
3267,프리디크의원,1661443217,http://www.pridq.com/,서울특별시 중구 퇴계로 120 희성남산빌딩 8층,서울,중구,남산동,서울/중구,
2009,해피메디의원,21560684,http://happymedi.net,서울특별시 중구 통일로 86 바비엥3 2층 205호,서울,중구,순화동,서울/중구,
2000,아미스킨의원 명동,20149846,https://www.amiskin.co.kr,서울특별시 중구 퇴계로 100 B107,서울,중구,회현동,서울/중구,
2753,닥터쁘띠의원 명동점,1523065743,https://myeongdong.doctorpetit.com/,서울특별시 중구 퇴계로 145 2층,서울,중구,,서울/중구,
2030,쁨글로벌의원 명동점,1226600111,http://www.ppeum16.com,서울특별시 중구 남대문로 84 3~5층,서울,중구,,서울/중구,
2025,유앤아이의원 명동점,1528320866,https://www.mduni114.co.kr/,서울특별시 중구 남대문로 78 타임워크명동빌딩 3층,서울,중구,명동,서울/중구,
2032,톡스앤필의원 명동점,1112668073,http://www.toxnfill35.com/,서울특별시 중구 남대문로 84 애플스토어 건물 8층,서울,중구,,서울/중구,
2040,헤이데이의원 명동점,1128772158,https://heydayclinic2.com/,서울특별시 중구 남대문로 90 세미콜론 명동 7층 헤이데이의원 명동,서울,중구,,서울/중구,
2023,당신만의가치 벨유의원,1943327665,http://www.valu-clinic.kr/,서울특별시 중구 명동길 32 4층,서울,중구,명동,서울/중구,
2857,메이퓨어의원 시청역점,1311970452,https://www.maypureclinic.com/ko/,"서울특별시 중구 세종대로11길 42 부림빌딩 5층 501, 502호",서울,중구,서소문동,서울/중구,
2107,나음피부과의원,36668479,http://www.naeumskin.com/,서울특별시 중구 세종대로 13 화남빌딩 5층,서울,중구,,서울/중구,
2024,더프리티영의원,1904014910,http://더프리티영의원.com/,서울특별시 중구 명동3길 6 개양빌딩 12층 1호,서울,중구,명동,서울/중구,
2048,동대문밴스의원,1556560647,https://dongdaemun.vandsclinic.co.kr/web/event,서울특별시 중구 장충단로 275 B1층 92호,서울,중구,,서울/중구,vandsclinic
