csv_no,place_id,naver_name,naver_address,derma_specialist_count,operating_hours_json,lunch_break,last_order,closed_days_json,amenities_json,parking_available,parking_detail,description,nearest_subway_json,road_guide,homepage_url,booking_url,talktalk_url,instagram_url,blog_url,youtube_url,kakao_url,other_links_json,photo_count,home_url,information_url,photo_page_url,crawl_status,crawl_started_at,crawl_completed_at,error_messages_json
1,20951918,고은미인의원,서울특별시 관악구 남부순환로 1860,0,"{""화"": ""10:00~18:00"", ""수"": ""10:00~18:00"", ""목"": ""10:00~18:00"", ""금"": ""10:00~18:00"", ""토"": ""10:00~13:00""}",12:30~13:30,,"[""일 (정기휴무 (매주 일요일))"", ""월(2/16) (설날 연휴 휴무)"", ""설날 연휴 (02/16~02/18)"", ""삼일절 (03/01~None)""]",,,,,"[{""name"": ""서울대입구역"", ""exit"": ""1"", ""walk_time_min"": 6, ""distance_m"": 314, ""lines"": [""2호선""]}, {""name"": ""낙성대역"", ""exit"": ""4"", ""walk_time_min"": 10, ""distance_m"": 644, ""lines"": [""2호선""]}]",,http://www.goeunmiin.co.kr/,,,,,,,,1,https://m.place.naver.com/hospital/20951918/home,https://m.place.naver.com/hospital/20951918/information,https://m.place.naver.com/hospital/20951918/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-10T10:38:46.180117,2026-02-10T10:39:14.132612,[]
2,1721660349,마이닥터의원,서울특별시 동작구 사당로14길 13 골든빌딩 2층,0,"{""화"": ""10:00~20:00"", ""수"": ""14:00~20:00"", ""목"": ""10:00~20:00"", ""금"": ""10:00~20:00"", ""토"": ""10:00~17:00"", ""_note"": ""2025년7월 2일~ 2025년7월 6일 여름휴가입니다""}",13:00~14:00,"{""화"": ""19:30"", ""수"": ""19:30"", ""목"": ""19:30"", ""금"": ""19:30"", ""토"": ""16:30""}","[""일 (정기휴무 (매주 일요일))"", ""월(2/16) (설날 연휴 휴무)"", ""설날 연휴 (02/16~02/18)"", ""삼일절 (03/01~None)""]","[""무선 인터넷"", ""주차""]",1,주차 주차가능 무료,저희 마이닥터의원은 환자분들의 만족을 위해 항상 전직원이 최선을 다하겠습니다.,"[{""name"": ""남성역"", ""exit"": ""1"", ""walk_time_min"": 1, ""distance_m"": 102, ""lines"": [""7호선""]}]",남성역 1번 출구 앞 첫번째 골목에 들어와서 70m 직진하시면 바로 마이닥터의원이 보입니다.,http://www.mydrclinic.co.kr/,https://m.booking.naver.com/booking/13/bizes/538756,http://talk.naver.com/wgcm2p3?frm=mnmb,,,,,,5,https://m.place.naver.com/hospital/1721660349/home,https://m.place.naver.com/hospital/1721660349/information,https://m.place.naver.com/hospital/1721660349/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-10T10:39:19.787390,2026-02-10T10:39:55.834413,[]
3,151940084,밝은얼굴의원,서울특별시 동작구 사당로 224 2층,0,"{""화"": ""10:00~19:00"", ""수"": ""10:00~19:00"", ""금"": ""10:00~19:00"", ""토"": ""09:30~14:00"", ""_note"": ""공휴일 있는 주에는 목요일 오후진료를 합니다.""}",13:00~14:00,,"[""목 (정기휴무 (매주 목요일))"", ""일 (정기휴무 (매주 일요일))"", ""월(2/16) (설날 연휴 휴무)"", ""설날 연휴 (02/16~02/18)"", ""삼일절 (03/01~None)""]","[""예약"", ""무선 인터넷"", ""주차""]",1,주차 주차가능 무료 주차장 주소는 ' 사당동 267-6번지 '를 찍고 오시면 병원 건물 바로 뒷편에 있습니다.,"안녕하세요? 밝은얼굴의원입니다.
(미용시술 예약은 전화 02-598-8959, 네이버 예약으로 받고 있습니다. 일반 피부질환 진료는 예약 없이 내원해주세요)
저희 밝은얼굴의원은 일반 피부질환 뿐만 아니라 피부미용 시술도 겸하는 곳입니다. 기본적인 피부 질환부터 미용적인 부분까지 진료 및 치료가 가능한 곳이니 피부에 대한 것으로 고민 중이시라면 편하게 내원하세요.
시술을 일률적으로 공장과 같이 하는 곳이 아니라 개개인의 피부 상태나 상황에 맞게 해결책을 제시해드리겠습니다.
감사합니다.","[{""name"": ""남성역"", ""exit"": ""1"", ""walk_time_min"": 1, ""distance_m"": 68, ""lines"": [""7호선""]}]","남성역 1번 출구에서 도보 3-5분 정도 걸립니다. 자동차를 이용하시는 분들은 병원 건물 바로 뒤에 주차장이 위치해 있는데, 네비에 ' 사당4동 267-6번지 ' 를 찍고 오시면 됩니다.",http://thebrightface.com/,https://m.booking.naver.com/booking/6/bizes/168490,http://talk.naver.com/wcdyjb?frm=mnmb,,https://blog.naver.com/pacemaker2,,,,5,https://m.place.naver.com/hospital/151940084/home,https://m.place.naver.com/hospital/151940084/information,https://m.place.naver.com/hospital/151940084/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-10T10:40:02.450994,2026-02-10T10:40:33.630238,[]
4,1703642737,다미의원,서울특별시 동작구 사당로 219 메트로빌딩 3층,-1,"{""화"": ""10:30~17:30"", ""수"": ""10:30~17:30"", ""목"": ""10:30~17:30"", ""금"": ""10:30~17:30"", ""토"": ""10:30~13:00""}",12:30~14:00,,"[""일 (정기휴무 (매주 일요일))"", ""월(2/16) (설날 연휴 휴무)"", ""설날 연휴 (02/16~02/18)"", ""삼일절 (03/01~None)""]","[""주차"", ""남/녀 화장실 구분"", ""무선 인터넷""]",1,주차 주차가능,"남성역에 위치한
다미의원 진료 안내입니다.

1.피부 질환 진단 및 치료
2.여드름 치료 및 관리
3.얼굴 색소 치료 (첨단 레이저 및 IPL)
4.눈물 고랑,미간 주름, 팔자주름,
   입가주름,인디언밴드 주름등의
   섬세하고 꼼꼼한 무통 필러 시술
5.여드름 흉터 및 기타 흉터 부위의
   프락셀 레이저 시술
6.부위별 4단계 적용 보톡스 시술
   등등
만족하신 시술 소개로
일본,미국,중국 고객분들도
먼길 마다 않고
시술받는
피부 클리닉입니다.

청명한 여름 하늘처럼
활짝 개인 피부를
원하시고,
더 젊고 고운 동안피부를
유지하고 싶으신 분은
각 파트 전문 상담실장과
친절한 상담 받으세요.
감사합니다.","[{""name"": ""남성역"", ""exit"": ""4"", ""walk_time_min"": 1, ""distance_m"": 34, ""lines"": [""7호선""]}, {""name"": ""총신대입구(이수)역"", ""exit"": ""10"", ""walk_time_min"": 12, ""distance_m"": 757, ""lines"": [""4호선"", ""7호선""]}, {""name"": ""이수역"", ""exit"": ""10"", ""walk_time_min"": 12, ""distance_m"": 757, ""lines"": [""7호선"", ""4호선""]}]","7호선 남성역 4번출구 10m 대로변
스타벅스 건물 3층에 위치합니다.",,,,,,,,,1,https://m.place.naver.com/hospital/1703642737/home,https://m.place.naver.com/hospital/1703642737/information,https://m.place.naver.com/hospital/1703642737/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-10T10:40:39.866936,2026-02-10T10:41:06.249259,[]
5,30824343,미소앤유의원,서울특별시 동작구 사당로 230-1,0,"{""화"": ""09:30~18:30"", ""수"": ""09:30~19:00"", ""목"": ""09:30~18:30"", ""금"": ""09:30~18:30"", ""토"": ""09:30~14:30""}","{""화"": ""13:00~13:50"", ""수"": ""13:00~14:00"", ""목"": ""13:00~13:50"", ""금"": ""13:00~13:50""}",,"[""일 (정기휴무 (매주 일요일))"", ""월(2/16) (설날 연휴 휴무)"", ""설날 연휴 (02/16~02/18)"", ""삼일절 (03/01~None)""]","[""주차""]",1,주차 주차가능,"안녕하세요?
여러분에게 건강과 아름다움을 선사해 드리는 미소앤유 피부과 비뇨기과 입니다.

풍부한 임상경험과 실력을 갖춘 저희 의료진은
한분 한분이 만족할 수 있는 맞춤 진료를 실천하고 있으며,
정확한 진단과 치료계획으로 최상의 결과를 얻을 수 있도록 최선을 다하고 있습니다.

미소앤유에서는 여드름, 흉터, 기미 등을 치료할 수 있는
레이저 클리닉을 운영하고 있으며 비만클리닉과 비뇨기과 클리닉을 함께 운영하여,
비만, 지방분해시술 및 비뇨기과 시술 등의 수술적 치료도 가능합니다.

여러분의 보다 나은 건강과 아름다움을 위해
언제나 노력하는 미소앤유가 되겠습니다.","[{""name"": ""남성역"", ""exit"": ""1"", ""walk_time_min"": 2, ""distance_m"": 132, ""lines"": [""7호선""]}, {""name"": ""총신대입구(이수)역"", ""exit"": ""9"", ""walk_time_min"": 12, ""distance_m"": 713, ""lines"": [""4호선"", ""7호선""]}, {""name"": ""이수역"", ""exit"": ""9"", ""walk_time_min"": 12, ""distance_m"": 713, ""lines"": [""7호선"", ""4호선""]}]",,http://misoau.ad-media.kr/main,,,,,,,,4,https://m.place.naver.com/hospital/30824343/home,https://m.place.naver.com/hospital/30824343/information,https://m.place.naver.com/hospital/30824343/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-10T10:41:18.395261,2026-02-10T10:41:45.202312,"[""[2026-02-09T11:45:48.952837] 이전 retry 중 중단""]"
6,12764443,톡스앤필의원 관악서울대입구점,서울특별시 관악구 봉천로 488 서호빌딩 9층 관악톡스앤필의원,0,"{""화"": ""11:00~20:00"", ""수"": ""11:00~20:00"", ""목"": ""11:00~20:00"", ""금"": ""11:00~20:00"", ""토"": ""10:00~17:00""}",13:00~14:00,"{""화"": ""19:30"", ""수"": ""19:30"", ""목"": ""19:30"", ""금"": ""19:30"", ""토"": ""16:30""}","[""일 (정기휴무 (매주 일요일))"", ""월(2/16) (설날 연휴 휴무)"", ""설날 연휴 (02/16~02/18)""]","[""예약"", ""남/녀 화장실 구분"", ""무선 인터넷"", ""주차""]",1,주차 주차가능 무료,"서울대입구 피부과는

'톡스앤필 관악서울대점'
3正 [정품.정량.정성]

숙련된 의료진이 만드는 품격 있는 아름다움

[3正]
정품 : 톡스앤필은 오직 정품만을 사용합니다.
정량 : 톡스앤필은 반드시 정량을 사용합니다.
정성 : 톡스앤필은 숙련된 의료진이 정성으로 시술 합니다.

보톡스, 필러의 대중화 선언! 이제 아름다워질 권리, 숨겨진 아름다움을 부담 없이 찾으시길 바랍니다!

숙련된 의사에게 합리적인 비용으로, 보톡스, 필러 시술을 받을 수 있어야 한다!

톡스앤필은 전제품 정품 정량제도를 시행합니다!!

톡스앤필은 보톡스&필러 대중화 브랜드로 여러분들께 신뢰와 정성, 만족스러운 결과로 다가설 것을 약속 드립니다.

[공지] 토요일 진료비 조정 안내
항상 저희 병원을 찾아주시는 고객님께 진심으로 감사드립니다.
토요일 진료 수요 증가와 서비스 품질 유지를 위해
25년 9월 13일부터 토요일 진료비가 10% 인상 됩니다.
고객님께 더 나은 진료 경험을 드리기 위한 결정이오니 너른 양해 부탁드립니다.
앞으로도 변함없이 최선의 진료와 만족을 드릴 수 있도록 노력하겠습니다. 감사합니다.","[{""name"": ""서울대입구역"", ""exit"": ""8"", ""walk_time_min"": 1, ""distance_m"": 76, ""lines"": [""2호선""]}]","지하철 2호선 서울대입구역 7번출구,8번출구 도보 1분거리 주차가능.",http://www.toxnfill10.com/,https://m.booking.naver.com/booking/13/bizes/269515,,https://www.instagram.com/toksfill/,https://blog.naver.com/rndnjfwnals,,,"[""http://cafe.naver.com/toxnfill""]",7,https://m.place.naver.com/hospital/12764443/home,https://m.place.naver.com/hospital/12764443/information,https://m.place.naver.com/hospital/12764443/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-10T10:41:49.026372,2026-02-10T10:42:20.702906,[]
7,19515942,연세미모사랑의원,서울특별시 관악구 봉천로 482,0,"{""화"": ""10:00~17:30"", ""수"": ""10:00~17:30"", ""목"": ""10:00~17:30"", ""금"": ""10:00~17:30"", ""토"": ""10:30~14:00""}",,,"[""일 (정기휴무 (매주 일요일))"", ""월(2/16) (설날 연휴 휴무)"", ""설날 연휴 (02/16~02/18)"", ""삼일절 (03/01~None)""]",,,,,"[{""name"": ""서울대입구역"", ""exit"": ""8"", ""walk_time_min"": 1, ""distance_m"": 80, ""lines"": [""2호선""]}]",,https://app.map.naver.com/panorama/?id=GfQTR1zJOjCXeWKvIaC3_g&holder=place&heading=-160.49&tilt=10.00&fov=120,,,,,,,,0,https://m.place.naver.com/hospital/19515942/home,https://m.place.naver.com/hospital/19515942/information,https://m.place.naver.com/hospital/19515942/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-10T10:42:25.863559,2026-02-10T10:42:51.396018,[]
8,33811668,라마르의원 서울대입구역,서울특별시 관악구 관악로 203 엔젤빌딩 501호,-1,"{""화"": ""11:00~21:00"", ""수"": ""10:00~19:00"", ""목"": ""10:00~20:00"", ""금"": ""11:00~21:00"", ""토"": ""10:00~16:00""}",13:00~14:00,12:10,"[""일 (정기휴무 (매주 일요일))"", ""월(2/16) (설날 연휴 휴무)"", ""설날 연휴 (02/16~02/17)"", ""삼일절 (03/01~None)""]","[""주차""]",1,주차 주차가능 무료 기계식 주차 타워로 기계식 주차가 어려운 차량은 따로 지원이 어려운 부분 양해 부탁 드립니다 :),"안녕하세요. 아름다움을 전하는 라마르 서울대점입니다.

항상 고객님의 아름다움을 위하여 최상의 서비스를 제공해 드리기 위해 노력하고 있습니다.

저희 서울대입구역 라마르 피부과 성형외과는 기미/색소, 여드름, 피부관리 진료와

보톡스, 필러, 리프팅 등 아름다운 동안을 유지하기 위한 시술을 받으실수 있습니다.","[{""name"": ""서울대입구역"", ""exit"": ""6"", ""walk_time_min"": 4, ""distance_m"": 208, ""lines"": [""2호선""]}]","서울대 입구역 6번출구에서 출구방향으로 약 150M 직진 하시면
좌측 엔젤빌딩 4층, 5층에서 라마르 서울대점을 만나실수 있습니다.

주차는 일반 승용차의 경우 병원건물 뒷편 골목으로 들어 오시면 주차타워가 있습니다.",http://www.snulamar.com/,https://m.booking.naver.com/booking/13/bizes/145833,,,https://blog.naver.com/snulamar,,,,10,https://m.place.naver.com/hospital/33811668/home,https://m.place.naver.com/hospital/33811668/information,https://m.place.naver.com/hospital/33811668/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-10T10:42:58.330611,2026-02-10T10:43:24.149787,[]
9,1299663122,연세미라클의원,서울특별시 관악구 남부순환로 1830 4층,0,"{""화"": ""10:00~20:00"", ""수"": ""10:00~17:00"", ""목"": ""10:00~20:00"", ""금"": ""10:00~20:00"", ""토"": ""10:00~17:00"", ""_note"": ""※추석 연휴 10/6(월)~10일(금) 휴진합니다!""}",13:00~14:00,"{""화"": ""19:30"", ""수"": ""16:30"", ""목"": ""19:30"", ""금"": ""19:30"", ""토"": ""16:30""}","[""일 (정기휴무 (매주 일요일))"", ""월(2/16) (설날 연휴 휴무)"", ""설날 연휴 (02/16~02/18)"", ""삼일절 (03/01~None)""]","[""예약"", ""남/녀 화장실 구분"", ""무선 인터넷"", ""간편결제"", ""주차""]",1,주차 주차가능 무료 타워주차가능 SUV주차불가,"미라클 같은 변화!
누구나 꿈꾸는 희망사항일겁니다.
피부과 진료를 하면서 저에게 진료를 받은 많은 환자분들의 공통의 관심사이기도 하죠.

미라클의원은 가벼운 보톡스나 필러, 리프팅만으로도 기적같은 변화를 보여드리고자 노력하고 있습니다.
환자분마다 극적인 변화가 만들어질 부위를 찾아내고 아주 가벼운 시술만으로도 확연한 변화를 느낄 수 있는 치료를 지향합니다.

부담없이 방문해주세요.
쉽고 빠르게 본연의 아름다움을 찾아드리겠습니다.

시술 후 기뻐하는 환자분의 모습에 저 역시도 가장 큰 자부심을 느낍니다.

내원하시는 환자분의 미의 기준을 최대한 이해하고 만족도 높은 시술로 보답하겠습니다.

지금까지 의사로서 지내온 기간, 앞으로의 많은 시간동안 더 많은 분들의 행복한 미소를 지켜보며 지낼 수 있도록 언제나 최선을 다하는 모습, 보여드리겠습니다.","[{""name"": ""서울대입구역"", ""exit"": ""1"", ""walk_time_min"": 1, ""distance_m"": 34, ""lines"": [""2호선""]}]",,https://cafe.naver.com/ysmiracle,https://m.booking.naver.com/booking/13/bizes/257143,,http://www.instagram.com/ysmiracle,https://blog.naver.com/miracleseoul_1,,,"[""http://www.ysmiracle.com/""]",4,https://m.place.naver.com/hospital/1299663122/home,https://m.place.naver.com/hospital/1299663122/information,https://m.place.naver.com/hospital/1299663122/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-10T10:43:31.368815,2026-02-10T10:43:59.008534,[]
10,1099077098,닥터에버스의원 서울대입구점,서울특별시 관악구 관악로 164 대우디오슈페리움 1단지 3층,-1,"{""화"": ""10:30~20:00"", ""수"": ""10:30~20:00"", ""목"": ""10:30~20:00"", ""금"": ""10:30~20:00"", ""토"": ""10:30~16:00"", ""_note"": ""▶2/16·17(설날):휴무, 2/18:단축진료""}",13:00~14:00,"{""화"": ""19:30"", ""수"": ""19:30"", ""목"": ""19:30"", ""금"": ""19:30"", ""토"": ""15:30""}","[""일 (정기휴무 (매주 일요일))"", ""월(2/16) (설날 연휴 휴무)"", ""설날 연휴 (02/16~02/17)""]","[""예약"", ""무선 인터넷"", ""남/녀 화장실 구분"", ""주차""]",1,주차 주차가능 무료,"안녕하세요
건강한 아름다움,
서울대입구역 피부과 닥터에버스의원입니다.
닥터에버스는 안전하고 만족스러운 시술 결과를 제공하기 위해 최선을 다하겠습니다.

Hello.
For healthy beauty
This is Dr. Evers, a dermatology clinic in Seoul national university station.
We will do our best to provide safe and satisfactory results.

[학회활동]

- 닥터에버스 카데바 워크숍 개최
- 닥터에버스X갈더마 GAIN 워크숍
- 닥터에버스X멀츠 실전 아카데미
- 울쎄라 핸즈온 세미나
- Meet The Expert 세미나
- 클래시스 리더쉽 세미나
- KALDAT 2024 국제학술포럼박람회
- 클래시스 핸즈온 세미나
- 갈더마 레스틸렌 핸즈온

[Academic Activities]

- Held Dr.Evers Cadaver Workshop
- Dr.Evers X Galderma GAIN Workshop
- Dr.Evers X MERZ Aesthetic Academy
- Ulthera Hands-on Seminar
- Meet The Expert Seminar
- Classys Leadership Seminar
- KALDAT 2024 International Academic Forum Fair
- Classys Hands-on Seminar
- Galderma Restylane Hands-on

[제공 서비스]
[Services]

1. 보톡스 / 윤곽주사 / 필러
Botox / Contouring injection / Filler

2. 각질 / 피지관리 / 스킨케어
- 아쿠아필, 라라필, LDM물방울리프팅

Dead skin cells / Sebum / Skin care
- Aquapeel, Lhalapeel, LDM water-drop lifting

3. 콜라겐 볼륨 부스터
- 레디어스, 울트라콜200, 스컬트라, 쥬베룩 볼륨

Collagen Volume Booster
- Radiesse, Ultracol 200, Sculptra, Juvelook Volume

4. 여드름 피부 / 모공 / 흉터
- 블랙필, 얼굴알라딘필링, 에토좀PTT, 피코프락셀, 포텐자

Acne / Pore / Scar treatment
- Blackpeel, Face Aladdinpeel, Ethosome PTT, Pico Fraxel, Potenza

5. 토닝 / 색소 / 잡티개선
- 레이저토닝, 롱펄스 콜라겐토닝, 듀얼토닝, 피코토닝

Toning / Pigment / Blemishes
- Laser toning, Long pulse collagen toning, Dual toning, Pico toning

6. 콜라겐재생 / 스킨부스터
- 물광주사, 엑소좀, 필메드, 리쥬란, 쥬베룩

Collagen Regeneration/ Skinbooster
- water-light injection, Exosome, Fillmed, Rejuran, Juvelook

7. 리프팅레이저
- 덴서티, 볼뉴머, 인모드, 올리지오, 슈링크유니버스

Lifting laser
- Density, Volnewmer, Inmode, Oligio, Shurink Universe

8. 바디라인 / 다이어트
- 바디인모드,다이어트약처방,식욕조절주사

Body / Diet
- Body inmode, Prescription weight-loss drugs, Saxenda

9. 레이저제모
Laser hair removal

10. 가다실 / 백신 / 정맥
Gardasil / Vaccine / IV injection","[{""name"": ""서울대입구역"", ""exit"": ""2"", ""walk_time_min"": 3, ""distance_m"": 153, ""lines"": [""2호선""]}]","[지하철 이용 시]
2호선 서울대입구역 2번출구 도보 2분(80m) 디오슈페리움 1단지 B동 3층입니다.

[버스 이용 시]
5511, 5513, 5515, 5517, 5523, 5528, 6511, 6512, 6515, 501, 651, 750A, 750B
 서울대입구역 또는 관악구청 하차",http://www.evers3.co.kr/,https://m.booking.naver.com/booking/13/bizes/283342,http://talk.naver.com/w4igcf?frm=mnmb,https://www.instagram.com/drevers_official/,https://blog.naver.com/eversnu01,https://m.youtube.com/@Drevers,http://pf.kakao.com/_GnfHT,,15,https://m.place.naver.com/hospital/1099077098/home,https://m.place.naver.com/hospital/1099077098/information,https://m.place.naver.com/hospital/1099077098/photo?filterType=%EC%97%85%EC%B2%B4,success,2026-02-10T10:44:02.901936,2026-02-10T10:44:36.275750,[]
