구분,번호,제품명,URL,이미지URL
기타,,724 머땀닭갈비 [소개팁 구독자],https://smartstore.naver.com/tigfood/products/9793472230,https://cdn.litt.ly/images/ZxgPokPOQFMdx4acPzxhAHfDkfPmeqTA?s=300x300&m=outside&f=webp
기타,,"[N+스토어] 당신을 위한 상품 추천, 지금 바로 확인하세요!",https://www.placea.co.kr/littly/gate.html?sc=87827&si=intro_tip&ac=106&to=https%3A%2F%2Fapi.linkmine.io%2Fck.html%3Fptn_code%3D3aLy8E51qH%26sid%3D26,https://ads.aceplanet.co.kr/bn/etc/UYML.png
기타,,[N+스토어]  오늘의 네이버스토어 특가 상품 바로 확인하기!,https://www.placea.co.kr/littly/gate.html?sc=87827&si=intro_tip&ac=106&to=https%3A%2F%2Fapi.linkmine.io%2Fck.html%3Fptn_code%3D3aLy8E51qH%26sid%3D26,https://ads.aceplanet.co.kr/bn/etc/3Rv6.jpg
기타,,"[N+스토어] 당신을 위한 상품 추천, 지금 바로 확인하세요!",https://www.placea.co.kr/littly/gate.html?sc=87827&si=intro_tip&ac=106&to=https%3A%2F%2Fapi.linkmine.io%2Fck.html%3Fptn_code%3D3aLy8E51qH%26sid%3D26,https://ads.aceplanet.co.kr/bn/etc/UYML.png
쿠팡제품,1,818 집게 통,https://link.coupang.com/a/eerIhX,https://cdn.litt.ly/images/fH4EcymTLyoZYpO43DUmQvHIJ2vJdBBJ?s=300x300&m=outside&f=webp
쿠팡제품,2,818 가루스푼,https://link.coupang.com/a/eerTOH,https://cdn.litt.ly/images/tdhnWvjCFdLHyRoejVfbpv8h5rUe72G3?s=300x300&m=outside&f=webp
쿠팡제품,3,818 온열버터커터,https://link.coupang.com/a/eer1DG,https://cdn.litt.ly/images/UuUbqH1kvhcK7xiVbK9BVY7zrWn4NU50?s=300x300&m=outside&f=webp
쿠팡제품,4,818 스팸커터기,https://link.coupang.com/a/eer6BD,https://cdn.litt.ly/images/AsjbaPN3cVyiTK7pUVku58v5FFNhyi5G?s=300x300&m=outside&f=webp
쿠팡제품,5,817 속보이는 에어프라이,https://link.coupang.com/a/eee4F0,https://cdn.litt.ly/images/2VzqeJ3dPzQoboUF9dL15yF35DGodPsm?s=300x300&m=outside&f=webp
쿠팡제품,6,816 쌀국수면,https://link.coupang.com/a/ecL9V8,https://cdn.litt.ly/images/Dp9wYCdV6HznL1KOtIyYCVd2qYdEGuBv?s=300x300&m=outside&f=webp
