NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지,출처,naver_name,naver_address,naver_website,naver_category,naver_mapx,naver_mapy,naver_matched,match_reason
6,고은미인의원,의원,02-591-6550,8789,"서울특별시 관악구 남부순환로 1860, 2층 (봉천동)",,미표시_의원,고은미인의원,서울특별시 관악구 남부순환로 1860,http://www.goeunmiin.co.kr/,"병원,의원>피부과",1269562840.0,374796070.0,True,address_full
7,마이닥터의원,의원,02-522-1020,7010,"서울특별시 동작구 사당로14길 13, 골든빌딩 2층 (사당동)",,미표시_의원,마이닥터의원,서울특별시 동작구 사당로14길 13 골든빌딩 2층,http://www.mydrclinic.co.kr/,"병원,의원>피부과",1269719996.0,374834194.0,True,address_full
9,밝은얼굴의원,의원,02-598-8959,7010,"서울특별시 동작구 사당로 224, 2층 (사당동)",,미표시_의원,밝은얼굴의원,서울특별시 동작구 사당로 224 2층,https://blog.naver.com/pacemaker2,"병원,의원>피부과",1269725556.0,374836994.0,True,address_full
11,다미의원,의원,02-532-1332,7004,"서울특별시 동작구 사당로 219, 3층 (사당동)",http://,미표시_의원,다미의원,서울특별시 동작구 사당로 219 메트로빌딩 3층,,"병원,의원>피부과",1269726388.0,374841825.0,True,address_full
12,미소앤유의원,의원,02-523-3575,7010,"서울특별시 동작구 사당로 230-1, 4층 (사당동, 미래빌딩)",www.minuclinic.com,미표시_의원,미소앤유의원,서울특별시 동작구 사당로 230-1,http://misoau.ad-media.kr/main,"병원,의원>피부과",1269732579.0,374833168.0,True,address_full
15,톡스앤필의원,의원,02-873-7979,8738,"서울특별시 관악구 봉천로 488, 9층 (봉천동, 서호빌딩)",,미표시_의원,톡스앤필의원 관악서울대입구점,서울특별시 관악구 봉천로 488 서호빌딩 9층 관악톡스앤필의원,http://www.toxnfill10.com/,"병원,의원>피부과",1269538712.0,374814916.0,True,address_full
18,연세미모사랑의원,의원,02-876-5775,8738,"서울특별시 관악구 봉천로 482, 3층 (봉천동)",,미표시_의원,연세미모사랑의원,서울특별시 관악구 봉천로 482,,"병원,의원>피부과",1269534680.0,374817340.0,True,address_full
19,라마르의원,의원,02-883-8822,8745,"서울특별시 관악구 관악로 203, 501호 (봉천동)",,미표시_의원,라마르의원 서울대입구역,서울특별시 관악구 관악로 203 엔젤빌딩 501호,https://blog.naver.com/snulamar,"병원,의원>피부과",1269538579.0,374832582.0,True,address_full
21,연세미라클의원,의원,02-883-4406,8788,"서울특별시 관악구 남부순환로 1830, 송백빌딩 4층 (봉천동)",,미표시_의원,연세미라클의원,서울특별시 관악구 남부순환로 1830 4층,https://blog.naver.com/miracleseoul_1,"병원,의원>피부과",1269530761.0,374808121.0,True,address_full
23,서울대입구 닥터에버스의원,의원,02-876-2010,8788,"서울특별시 관악구 관악로 164, 305,306호 (봉천동, 대우디오슈페리움1단지)",,미표시_의원,닥터에버스의원 서울대입구점,서울특별시 관악구 관악로 164 대우디오슈페리움 1단지 3층,http://www.evers3.co.kr/,"병원,의원>피부과",1269527853.0,374797111.0,True,address_full
24,서울대입구예쁨주의쁨의원,의원,02-875-9930,8788,"서울특별시 관악구 관악로 164, 206.207.210호 (봉천동, 대우디오슈페리움1단지)",,미표시_의원,서울대입구예쁨주의쁨의원,서울특별시 관악구 관악로 164 대우디오슈페리움1단지 2층,http://www.ppeum25.com,"병원,의원>피부과",1269528579.0,374797275.0,True,address_full
26,점선면의원,의원,,8745,"서울특별시 관악구 관악로 195, 4층 409,410호 (봉천동, 관악위버폴리스)",,미표시_의원,점선면의원,서울특별시 관악구 관악로 195 관악위버폴리스 B동 4층 409~410호,https://blog.naver.com/msonjungi,"병원,의원>피부과",1269532792.0,374828619.0,True,address_full
27,홍앤유의원,의원,02-6276-8600,8787,"서울특별시 관악구 남부순환로 1820, 7층 (봉천동, 에그엘로우)",,미표시_의원,홍앤유의원,서울특별시 관악구 남부순환로 1820,https://blog.naver.com/hnuskin,"병원,의원>피부과",1269522406.0,374810424.0,True,address_full
